case_id,sample_idx,rmsd,energy,max_activation
pde5_4md6_pde5_3shy,5777,5.073360277699253,10000.0,1.2303197
pde5_4md6_pde5_3shy,10842,2.9321525662431105,10000.0,1.1035674
pde5_4md6_pde5_3shy,11795,3.4297715416368133,10000.0,1.0046661
pde5_4md6_pde5_3shy,6573,3.2857265029101,-9949.889247801944,0.9953792
mdm2_3jzk_mdm2_4zyf,1525,14.314524529677096,10000.0,2.9430373
mdm2_3jzk_mdm2_4zyf,527,7.307547348155863,10000.0,2.862201
mdm2_3jzk_mdm2_4zyf,4111,7.72671548521885,10000.0,2.5964444
mdm2_3jzk_mdm2_4zyf,2819,11.165501294867305,10000.0,2.4702675
mdm2_3jzk_mdm2_4zyf,2864,12.228148572889824,10000.0,2.3765142
bace1_5clm_bace1_5ezx,853,2.2384462141962422,-14340.256764323874,3.0647643
bace1_5clm_bace1_5ezx,918,2.371330035345688,-14360.196622848967,3.0647643
bace1_5clm_bace1_5ezx,1392,5.185772205443656,10000.0,2.7162325
bace1_5clm_bace1_5ezx,8197,4.000678944503844,-14361.466653590704,1.4189112
bace1_5clm_bace1_5ezx,8883,3.615746433093737,-14346.943932820806,1.4189112
cdk2_1g5s_cdk2_2b55,4412,11.481294266731435,10000.0,4.7034607
cdk2_1g5s_cdk2_2b55,4346,4.24843247049173,10000.0,2.704839
cdk2_1g5s_cdk2_2b55,3923,5.825080962105759,-10127.827043970396,2.567139
cdk2_1g5s_cdk2_2b55,4355,5.827116454291883,-10144.048472985363,2.567139
cdk2_1g5s_cdk2_2b55,4593,12.242585249723575,10000.0,2.431206
chk1_2brb_chk1_2hxl,3736,4.088995153888663,-10850.646881647444,1.9964974
chk1_2brb_chk1_2hxl,3915,4.094841041263634,-10857.766624076068,1.9002154
chk1_2brb_chk1_2hxl,3369,4.109734737592675,-10861.790126444484,1.8522127
chk1_2brb_chk1_2hxl,4143,4.066639593081815,-10835.09189160753,1.7940161
hivrt_2b5j_hivrt_1c0u,4826,3.5366805897704805,-34734.93719042102,2.804714
hivrt_2b5j_hivrt_1c0u,5295,4.175803851484386,-36364.67752424042,0.96624494
chk1_2c3k_chk1_2cgu,10505,3.772566941360129,-10471.934377698502,1.7898626
chk1_2c3k_chk1_2cgu,1692,3.5642448559445734,-10439.242160469654,1.3468392
chk1_2c3k_chk1_2cgx,9650,8.053521988417286,10000.0,2.6265256
